IMPLIED VOLATILITY WITH VAES,,,,,,,,,,,,,,11
,,,,,,,Latent Dimension,,,,,,,
,Model,,,AUD-USD,,,,EUR-USD,,,CAD-USD,,,
,β,3,5,10,15,3,5,10,15,3,5,10,15,
,0.01,4.56,5.35,4.82,4.40,3.88,3.63,3.61,3.97,1.54,2.12,1.78,1.63,
,0.1,4.32,5.83,4.54,4.62,3.18,3.29,3.62,2.77,1.81,1.53,1.40,1.34,
,CTMC 1,4.67,4.43,4.13,3.69,3.64,3.94,3.12,3.62,1.72,1.55,1.48,1.70,
,10,6.10,5.92,6.40,5.63,4.00,3.59,3.86,3.90,2.98,2.96,3.17,3.06,
,0.01,5.13,5.37,5.30,4.66,3.52,3.79,3.88,3.69,1.61,1.76,1.96,2.09,
,0.1,4.61,5.29,5.04,4.41,4.58,3.96,3.69,3.87,1.51,1.95,1.50,1.47,
,DE 1,5.84,4.92,4.61,4.81,3.70,3.46,4.12,4.01,1.65,1.76,1.94,1.51,
,10,6.01,5.25,5.40,5.08,3.38,3.73,3.89,3.69,1.84,2.28,1.82,2.20,
VAE,0.01,5.49,5.14,5.61,5.48,3.65,3.67,3.56,4.55,1.86,1.73,1.88,1.63,
,0.1,5.94,5.04,5.02,5.13,3.49,3.36,3.59,3.54,1.54,1.70,1.54,1.91,
,GM 1,5.15,5.27,5.00,5.83,4.01,3.49,3.96,3.30,2.11,2.28,1.93,1.62,
,10,5.72,5.56,4.83,5.26,3.22,3.15,3.73,3.27,1.81,1.70,2.03,2.11,
,0.01,5.86,6.11,5.80,5.53,3.58,3.36,3.94,4.02,2.33,2.08,1.85,1.94,
,0.1,6.12,6.37,5.99,5.65,3.68,4.17,3.92,3.56,2.19,1.85,2.06,2.08,
,CGMY/ KoBoL 1,6.54,6.43,6.17,6.22,3.58,3.79,3.94,3.88,2.09,2.34,1.97,2.28,
,10,5.96,5.97,5.90,6.20,4.01,3.84,4.31,4.21,2.16,2.24,2.21,2.61,
,0.01,6.07,6.16,6.06,6.26,3.55,4.17,4.05,3.65,1.65,1.61,1.62,1.64,
,0.1,6.22,6.34,5.87,5.86,3.94,3.61,3.44,4.04,1.68,1.44,1.59,1.86,
,IV 1,6.43,6.55,6.05,5.60,3.88,4.14,4.11,4.08,2.05,1.97,1.83,1.79,
,10,6.23,6.21,6.16,6.11,4.37,4.14,3.88,4.28,1.82,1.76,2.32,1.75,
,PCA,5.25,5.34,7.15,8.38,2.51,3.00,3.5,6.15,2.22,1.73,2.40,2.76,
,Empirical,5.82,5.82,5.82,5.82,3.83,3.83,3.83,3.83,1.67,1.67,1.67,1.67,
