,,Distinguishing between Different Skew Measures (FM Regression),,,,,,,,
,"In Table 6, data are obtained from CRSP, Compustat",,,"(for stocks), and OptionMetrics (for options). Our sample period",,,,,,
,is 1996–2005. Variable SKEW is the difference between the implied volatilities of out-of-the-money (OTM) put options,,,,,,,,,
,(strike-to-stock-price ratio closest,,to 0.95) and at-the-money (ATM) call options (strike-to-stock-price ratio closest,,,,,,,to 1).
,"Variable RNSKEW is the risk-neutral skewness estimated following Bakshi, Kapadia, and Madan (2003). Variable HSKEW",,,,,,,,,
,is the historical skewness estimated using the previous month’s daily return. We report,,,,,,,,the Fama-MacBeth (FM),(1973)
,"regression estimates for n-week ahead weekly returns, where n = 1, 4,",,,,.,.,.,", 24. The control variables are the same as in",,
"equation (2). *, **, and *** indicate signiﬁcance at 10%, 5%, and 1% levels, respectively.",,,,,,,,,,
,,,Without Controls,,,,,,With Controls,
nth,,,,,,,,,,
Week,,SKEW,RNSKEW,HSKEW,,,,SKEW,RNSKEW,HSKEW
1,Coeff.,–0.0457,0.0014,0.0021,,,,–0.0324,0.0001,0.0017
,t-stat.,–2.67***,0.76,3.93***,,,,–1.74*,0.07,2.63***
4,Coeff.,0.0022,0.0004,–0.0001,,,,–0.0121,–0.0002,–0.0003
,t-stat.,0.15,0.24,–0.21,,,,–0.64,–0.11,–0.66
8,Coeff.,–0.0172,–0.0006,–0.0002,,,,0.0285,0.0049,–0.0008
,t-stat.,–1.23,–0.37,–0.48,,,,0.86,1.23,–1.11
12,Coeff.,–0.0008,0.0021,–0.0010,,,,–0.0444,–0.0023,–0.0003
,t-stat.,–0.05,1.24,–2.10**,,,,–0.82,–0.35,–0.30
16,Coeff.,0.0006,0.0027,–0.0005,,,,0.0252,0.0070,–0.0010
,t-stat.,0.04,1.42,–1.10,,,,0.75,1.62,–1.55
20,Coeff.,0.0073,0.0009,–0.0013,,,,0.0586,0.0075,–0.0023
,t-stat.,0.52,0.56,–2.56**,,,,1.35,1.30,–2.24**
24,Coeff.,–0.0154,0.0007,–0.0005,,,,–0.0354,0.0011,0.0004
,t-stat.,–1.12,0.39,–1.18,,,,–1.44,0.52,0.44
