,Panel A: Unrestricted regressions,,,,,,,,
,,,,,,,,,LR test
Ticker,(cid:25),t(cid:1)(cid:25)(cid:2),(cid:26),t(cid:1)(cid:26)(cid:2),(cid:31),t(cid:1)(cid:31)(cid:2),R2,2(cid:1)1(cid:2),p value
1. AIG,0.75,7(cid:10)80,0(cid:10)03,0(cid:10)83,0.44,7(cid:10)18,46.0,0(cid:10)68,.41
2. AIT,1.42,6(cid:10)70,0(cid:10)24,4(cid:10)52,0.21,2(cid:10)20,46.1,23(cid:10)12,.00
3. AN,0.73,6(cid:10)05,−0(cid:10)06,−2(cid:10)23,0.21,3(cid:10)81,44.6,23(cid:10)12,.00
4. AXP,0.35,3(cid:10)59,0(cid:10)01,0(cid:10)95,0.33,3(cid:10)13,43.7,2(cid:10)00,.16
5. BA,0.95,10(cid:10)21,0(cid:10)03,1(cid:10)99,0.26,4(cid:10)14,66.6,6(cid:10)56,.01
6. BAC,0.68,10(cid:10)42,0(cid:10)04,2(cid:10)95,0.39,7(cid:10)73,68.1,8(cid:10)53,.00
7. BEL,1.24,12(cid:10)11,0(cid:10)13,4(cid:10)51,0.28,4(cid:10)22,64.3,31(cid:10)83,.00
8. BMY,1.05,10(cid:10)06,0(cid:10)05,2(cid:10)15,0.37,7(cid:10)69,71.1,8(cid:10)00,.00
9. CCI,0.58,9(cid:10)50,−0(cid:10)01,−1(cid:10)25,0.42,8(cid:10)78,63.3,1(cid:10)22,.27
10. DD,0.57,9(cid:10)26,0(cid:10)04,3(cid:10)04,0.30,4(cid:10)60,43.8,11(cid:10)27,.00
11. DIS,0.52,6(cid:10)58,0(cid:10)04,2(cid:10)47,0.52,10(cid:10)18,55.8,6(cid:10)13,.01
12. F,0.41,5(cid:10)97,0(cid:10)02,2(cid:10)31,0.45,8(cid:10)25,57.6,7(cid:10)25,.01
13. GE,1.07,11(cid:10)76,0(cid:10)10,5(cid:10)62,0.46,9(cid:10)51,62.3,30(cid:10)01,.00
14. GM,0.49,6(cid:10)90,−0(cid:10)01,−0(cid:10)79,0.46,9(cid:10)22,58.9,0(cid:10)97,.33
15. HWP,0.47,8(cid:10)10,0(cid:10)06,2(cid:10)57,0.52,8(cid:10)54,61.5,10(cid:10)02,.00
16. IBM,0.80,6(cid:10)47,−0(cid:10)03,−1(cid:10)12,0.53,8(cid:10)77,74.8,2(cid:10)57,.11
17. JNJ,0.49,4(cid:10)13,0(cid:10)01,0(cid:10)90,0.43,6(cid:10)74,49.5,1(cid:10)60,.21
18. KO,0.86,10(cid:10)30,0(cid:10)08,4(cid:10)57,0.27,4(cid:10)55,58.6,37(cid:10)00,.00
19. MCD,0.87,11(cid:10)10,0(cid:10)09,4(cid:10)62,0.29,3(cid:10)81,57.5,36(cid:10)67,.00
20. MCQ,0.81,7(cid:10)63,0(cid:10)03,1(cid:10)56,0.18,3(cid:10)10,47.0,3(cid:10)61,.06
21. MMM,0.87,5(cid:10)14,0(cid:10)08,1(cid:10)96,0.63,8(cid:10)17,47.2,3(cid:10)45,.06
22. MOB,0.95,8(cid:10)96,0(cid:10)05,2(cid:10)02,0.31,6(cid:10)31,54.2,6(cid:10)43,.01
23. MRK,0.77,7(cid:10)67,0(cid:10)07,5(cid:10)34,0.45,5(cid:10)77,74.6,32(cid:10)59,.00
24. NT,0.58,5(cid:10)74,0(cid:10)04,1(cid:10)53,0.27,6(cid:10)04,48.6,5(cid:10)10,.02
25. PEP,0.78,9(cid:10)65,0(cid:10)04,3(cid:10)43,0.28,6(cid:10)02,58.6,13(cid:10)61,.00
26. SLB,0.95,10(cid:10)43,0(cid:10)10,4(cid:10)25,0.27,7(cid:10)64,60.7,22(cid:10)21,.00
27. T,1.00,10(cid:10)03,0(cid:10)08,4(cid:10)85,0.27,5(cid:10)09,71.3,33(cid:10)58,.00
28. WMT,0.59,13(cid:10)24,0(cid:10)04,2(cid:10)88,0.43,6(cid:10)65,66.3,11(cid:10)09,.00
29. XON,1.11,9(cid:10)17,0(cid:10)08,4(cid:10)13,0.15,3(cid:10)40,54.4,22(cid:10)14,.00
30. XRX,0.57,4(cid:10)50,0(cid:10)08,2(cid:10)71,0.51,10(cid:10)62,43.0,9(cid:10)79,.00
31. OEX,1.83,5(cid:10)65,0(cid:10)21,5(cid:10)02,0.58,7(cid:10)68,74.8,28(cid:10)43,.00
,,,,,,,,,127
