col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
8,0,31.39,31.10,31.03,31.62,29.51,29.07
8,5,31.37,30.39,29.93,31.21,29.71,29.36
8,9,31.08,30.19,30.18,31.18,30.12,29.75
16,0,20.39,19.11,18.94,19.26,18.50,18.32
16,5,20.43,19.52,18.86,19.57,17.67,17.63
16,9,20.90,19.55,19.59,20.15,18.38,18.16
32,0,12.42,12.28,12.18,11.30,11.64,11.56
32,5,13.32,13.22,12.94,11.54,10.66,10.84
32,9,12.60,13.38,13.22,11.16,11.22,11.50
64,0,12.47,12.11,11.94,12.44,11.62,11.36
64,5,12.76,12.49,12.35,12.10,12.26,12.10
64,9,12.21,12.23,12.03,13.00,12.36,12.16
128,0,11.72,11.94,12.04,11.48,10.72,10.28
128,5,11.44,11.72,11.60,10.84,10.96,10.96
128,9,11.76,11.26,11.34,11.50,10.66,10.86
256,0,AF.94,10.65,10.66,12.06,11.67,11.79
256,NS},10.90,10.39,10.48,12.16,11.46,11.60
256,9,10.69,10.79,10.75,TT,S1,11.59,11.16
512,0,11.15,10.67,10.63,10.06,9.46,9.62
512,5,10.90,10.39,10.49,9.94,9.66,9.76
512,9,10.31,10.09,10.05,10.12,10.12,10.06
