,,,,Number of,,,,,Midpoint of,
,,,,option quotes,,,,,option quote,
,,,Short,,Medium,,,Short,,Medium
,,OEX,,,,,,,,
Ticker,Stock,Weight,Call,Put,Call,Put,Call,Put,Call,Put
1. AIG,American Int’l,2.32,3414,3884,1779,2471,1.26,0.99,2.34,1.47
2. AIT,Ameritech,1.24,1902,2199,1260,1570,0.62,0.58,0.96,0.89
3. AN,Amoco,1.09,2112,1942,1491,1435,0.49,0.48,0.79,0.76
4. AXP,American Express,1.27,2325,2367,1458,1696,0.41,0.40,0.66,0.60
5. BA,Boeing Company,1.27,2848,2624,1927,1896,0.56,0.48,0.93,0.71
6. BAC,BankAmerica Corp.,1.53,2640,3023,1576,2007,0.62,0.53,0.99,0.77
7. BEL,Bell Atlantic,1.90,2242,2335,1409,1600,0.47,0.47,0.71,0.74
8. BMY,Bristol-Myers,2.85,3040,3311,1927,2335,0.63,0.57,1.04,0.84
9. CCI,Citicorp,1.82,2545,2983,1512,2007,0.47,0.41,0.79,0.57
10. DD,Du Pont,2.33,2492,2639,1472,1731,0.57,0.53,0.98,0.79
11. DIS,Walt Disney Co.,2.04,4020,4677,2297,2905,1.06,0.87,2.00,1.40
12. F,Ford Motor,1.66,2924,3068,2062,2264,0.56,0.51,0.90,0.80
13. GE,General Electric,7.29,3323,4019,1857,2801,0.67,0.59,1.28,0.93
14. GM,General Motors,1.36,3021,3134,2107,2208,0.58,0.53,0.98,0.78
15. HWP,Hewlett-Packard,1.73,3973,5305,2168,3978,1.29,0.92,2.57,1.38
16. IBM,Int. Bus. Mach.,3.05,5605,4806,3514,2755,0.89,0.84,1.41,1.31
17. JNJ,Johnson & Johnson,2.48,2999,3256,1646,2148,0.81,0.70,1.40,1.00
18. KO,Coca Cola Co.,5.18,2438,3305,1450,2589,0.62,0.50,1.09,0.69
19. MCD,McDonald’s Corp.,1.21,2321,2285,1443,1814,0.51,0.40,0.89,0.60
20. MCQ,MCI Comm.,0.99,2437,2311,1503,1508,0.46,0.44,0.74,0.65
21. MMM,Minn Mining,1.01,3532,3730,1946,2175,0.80,0.75,1.32,1.21
22. MOB,Mobil Corp.,1.63,2573,2618,1795,2232,0.71,0.67,1.15,1.00
23. MRK,Merck & Co.,3.75,3283,4163,1865,2639,0.98,0.83,1.69,1.31
24. NT,Northern Telecom,0.89,1916,1788,1213,1176,0.60,0.53,0.94,0.72
25. PEP,PepsiCo Inc.,1.65,2091,2459,1285,1695,0.40,0.36,0.65,0.51
26. SLB,Schlumberger Ltd,1.04,2965,2678,1670,1699,0.77,0.71,1.34,1.06
27. T,AT&T Corp.,2.64,2423,2607,1498,1783,0.45,0.36,0.73,0.50
28. WMT,Wal-Mart Stores,3.31,2539,2959,1868,2036,0.49,0.42,0.80,0.63
29. XON,Exxon Corp.,4.64,2364,2502,1375,1556,0.46,0.44,0.73,0.66
30. XRX,Xerox Corp.,0.89,3665,4615,1927,2921,1.23,0.94,2.13,1.43
31. OEX,S&P 100 Index,,12793,22755,10981,16828,2.15,1.86,4.98,4.47
The table reports,,the number of observations and the midpoint price as,,,the average of,,the bid-ask quotes,for,,short-term and
"medium-term OTM calls and puts for 30 stocks and the S&P 100. The ticker, name, and recent weight of the stock in the index",,,,,,,,,,
"(as of May 1998) are also reported. The call (put) is OTM if K/S > 1 (K/S < 1), where S denotes the contemporaneous stock",,,,,,,,,,
,price and K is the strike. Short-term options have remaining days to expiration of between 9 and 60 days and medium term,,,,,,,,,
,between 61 and 120 days. Only the last daily quote prior,,,to 3:00 p.m. CST of each option contract,,,,is used in our calculations.,,
,"The sample period extends from January 1, 1991,",,"through December 31, 1995 for a total of 358,851 option quotes (162,046",,,,,,,
"calls and 196,805 puts).",,,,,,,,,,
