Maturity,Moneyness,,Mean absolute error,,,,Root mean squared error,,
,,1d,3d,Spline,Spline*,1d,3d,Spline,Spline*
,(a) Extrapolation and interpolation,,,,,,,,
Long,Center,0.0007,0.0084,0.0003,0.0003,0.0016,0.0108,0.0006,0.0007
,Left,0.0043,0.0364,0.0008,0.0008,0.0157,0.0427,0.0016,0.0016
,Right,0.0019,0.0327,0.0015,0.0015,0.0044,0.0486,0.0133,0.0133
Medium,Center,0.0006,0.0161,0.0006,0.0006,0.0016,0.0282,0.0140,0.0141
,Left,0.0031,0.0633,0.0148,0.0148,0.0114,0.1002,0.4087,0.4094
,Right,0.0017,0.0475,0.0015,0.0015,0.0043,0.0674,0.0142,0.0142
Short,Center,0.0009,0.0355,0.0014,0.0012,0.0029,0.1181,0.0489,0.0143
,Left,0.0034,0.2264,1.6616,1.6616,0.0090,0.5566,3.7805,3.7805
,Right,0.0028,0.0765,0.0050,0.0049,0.0075,0.2690,0.4600,0.4604
(b) Interpolation only,,,,,,,,,
Long,Center,0.0006,0.0084,0.0003,0.0003,0.0015,0.0108,0.0005,0.0005
,Left,0.0028,0.0365,0.0004,0.0004,0.0092,0.0425,0.0007,0.0007
,Right,0.0014,0.0330,0.0007,0.0007,0.0025,0.0489,0.0015,0.0015
Medium,Center,0.0006,0.0161,0.0005,0.0005,0.0016,0.0282,0.0144,0.0144
,Left,0.0023,0.0616,0.0044,0.0044,0.0065,0.0938,0.0598,0.0598
,Right,0.0013,0.0478,0.0010,0.0010,0.0027,0.0677,0.0043,0.0043
Short,Center,0.0008,0.0354,0.0012,0.0011,0.0025,0.1168,0.0184,0.0147
,Left,0.0028,0.2162,1.1094,1.1094,0.0066,0.5257,1.8050,1.8050
,Right,0.0024,0.0727,0.0023,0.0023,0.0063,0.2493,0.0295,0.0295
This table presents the cross-validation MAE and RMSE for S&P 500 options across various maturity,,,,,,,,,
"and moneyness combinations. The maturity section categorizes options based on remaining maturities,",,,,,,,,,
"with short maturity options having less than 30 days, medium maturity options having 30 to 365 days,",,,,,,,,,
"and long maturity options having more than 365 days. The moneyness axis, represented by m = K",,,,,,,,,"F , is"
,"divided into left, center, and right sections, with the dividing lines at 0.95 and 1.05. The error figures",,,,,,,,
,are given in annualized implied volatility units. The Spline* column reports the results for spline with,,,,,,,,
,N𝜏 ≥ 5 data points per fitted line instead of N𝜏 ≥ 4 . Cells in bold highlight the best performing method,,,,,,,,
,per maturity-moneyness bucket. The data covers the period from Jan 2004 to Jul 2019,,,,,,,,
